,ref_time,start_time_wrt_ref,end_time_wrt_ref,call_start_time,call_end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
253,2022-08-28 03:30:00,56.7635,56.7713,2022-08-28 03:30:56.763500000,2022-08-28 03:30:56.771300000,27187.0,44901.0,Echolocation,Eptesicus serotinus,0.6,0.702,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
255,2022-08-28 03:30:00,56.8915,56.8981,2022-08-28 03:30:56.891500000,2022-08-28 03:30:56.898100000,28046.0,38865.0,Echolocation,Eptesicus serotinus,0.492,0.63,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
260,2022-08-28 03:30:00,57.1325,57.1386,2022-08-28 03:30:57.132500000,2022-08-28 03:30:57.138600000,28906.0,39327.0,Echolocation,Eptesicus serotinus,0.457,0.596,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
413,2022-08-28 03:36:00,16.8675,16.8795,2022-08-28 03:36:16.867500000,2022-08-28 03:36:16.879500000,24609.0,29411.0,Echolocation,Nyctalus leisleri,0.357,0.544,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
414,2022-08-28 03:36:00,20.3425,20.3537,2022-08-28 03:36:20.342500000,2022-08-28 03:36:20.353700000,26328.0,32824.0,Echolocation,Nyctalus leisleri,0.308,0.554,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220828_033000.WAV,recover-20220828,UBNA_007,Telephone Field
0,2022-08-29 03:30:00,10.6625,10.673,2022-08-29 03:30:10.662500000,2022-08-29 03:30:10.673000000,27187.0,34529.0,Echolocation,Eptesicus serotinus,0.257,0.51,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1,2022-08-29 03:30:00,10.7715,10.7841,2022-08-29 03:30:10.771500000,2022-08-29 03:30:10.784100000,25468.0,39274.0,Echolocation,Eptesicus serotinus,0.557,0.673,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
2,2022-08-29 03:30:00,10.9075,10.9191,2022-08-29 03:30:10.907500000,2022-08-29 03:30:10.919100000,25468.0,39934.0,Echolocation,Eptesicus serotinus,0.609,0.685,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
3,2022-08-29 03:30:00,11.0615,11.072,2022-08-29 03:30:11.061500000,2022-08-29 03:30:11.072000000,25468.0,38558.0,Echolocation,Eptesicus serotinus,0.578,0.693,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
4,2022-08-29 03:30:00,11.1655,11.1749,2022-08-29 03:30:11.165500000,2022-08-29 03:30:11.174900000,27187.0,37317.0,Echolocation,Eptesicus serotinus,0.372,0.668,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
5,2022-08-29 03:30:00,11.3335,11.3413,2022-08-29 03:30:11.333500000,2022-08-29 03:30:11.341300000,27187.0,40068.0,Echolocation,Eptesicus serotinus,0.511,0.634,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
6,2022-08-29 03:30:00,11.7845,11.7923,2022-08-29 03:30:11.784500000,2022-08-29 03:30:11.792300000,28046.0,37286.0,Echolocation,Eptesicus serotinus,0.406,0.581,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220829_033000.WAV,recover-20220828,UBNA_007,Telephone Field
