start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
1299.5755,1299.5854,40078.0,49029.0,Echolocation,Pipistrellus nathusii,0.632,0.653,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1299.7755,1299.7841,40078.0,51173.0,Echolocation,Pipistrellus nathusii,0.689,0.7,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1299.8805,1299.8899,40078.0,49060.0,Echolocation,Pipistrellus nathusii,0.587,0.609,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.0835,1300.093,40937.0,52336.0,Echolocation,Pipistrellus nathusii,0.672,0.712,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.1905,1300.2001,40078.0,50702.0,Echolocation,Pipistrellus nathusii,0.616,0.637,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.3005,1300.3105,40078.0,55020.0,Echolocation,Pipistrellus nathusii,0.717,0.74,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.4085,1300.4174,40078.0,49993.0,Echolocation,Pipistrellus nathusii,0.678,0.697,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.6035,1300.6147,39218.0,57680.0,Echolocation,Pipistrellus nathusii,0.673,0.759,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.7075,1300.7182,39218.0,53420.0,Echolocation,Pipistrellus nathusii,0.642,0.693,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1300.9085,1300.918,39218.0,55260.0,Echolocation,Pipistrellus nathusii,0.754,0.773,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.0205,1301.031,40078.0,53064.0,Echolocation,Pipistrellus nathusii,0.625,0.668,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.2255,1301.2352,40078.0,55731.0,Echolocation,Pipistrellus nathusii,0.742,0.771,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.3395,1301.3483,40078.0,50815.0,Echolocation,Pipistrellus nathusii,0.587,0.606,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.4525,1301.4625,40078.0,55074.0,Echolocation,Pipistrellus nathusii,0.696,0.726,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.5705,1301.581,40078.0,52278.0,Echolocation,Pipistrellus nathusii,0.611,0.651,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1301.7785,1301.7895,40078.0,53565.0,Echolocation,Pipistrellus nathusii,0.572,0.611,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1302.0885,1302.0997,40078.0,54333.0,Echolocation,Pipistrellus nathusii,0.58,0.679,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1302.3975,1302.4071,39218.0,49275.0,Echolocation,Pipistrellus nathusii,0.733,0.749,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1302.5095,1302.5179,40078.0,46307.0,Echolocation,Pipistrellus nathusii,0.523,0.536,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1302.7195,1302.7289,39218.0,46955.0,Echolocation,Pipistrellus nathusii,0.707,0.724,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1302.9475,1302.9548,40078.0,50303.0,Echolocation,Pipistrellus nathusii,0.64,0.66,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1303.2645,1303.274,39218.0,47040.0,Echolocation,Pipistrellus nathusii,0.611,0.631,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1303.5865,1303.5962,39218.0,45407.0,Echolocation,Pipistrellus nathusii,0.495,0.515,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1343.4455,1343.4531,46093.0,58185.0,Echolocation,Pipistrellus pipistrellus,0.452,0.53,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1344.2705,1344.2792,46093.0,61772.0,Echolocation,Pipistrellus pipistrellus,0.397,0.543,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1344.3595,1344.3677,44375.0,62788.0,Echolocation,Pipistrellus pipistrellus,0.449,0.526,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1344.7405,1344.7481,43515.0,62496.0,Echolocation,Pipistrellus pipistrellus,0.551,0.624,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1344.8445,1344.8515,44375.0,57413.0,Echolocation,Pipistrellus pipistrellus,0.512,0.567,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1344.9435,1344.9501,43515.0,62557.0,Echolocation,Pipistrellus pipistrellus,0.52,0.603,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.0375,1345.0437,45234.0,57226.0,Echolocation,Pipistrellus pipistrellus,0.534,0.562,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.2415,1345.2485,44375.0,61910.0,Echolocation,Pipistrellus pipistrellus,0.574,0.626,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.4485,1345.4546,45234.0,61427.0,Echolocation,Pipistrellus pipistrellus,0.577,0.633,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.7505,1345.7563,45234.0,57401.0,Echolocation,Pipistrellus pipistrellus,0.595,0.638,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.8485,1345.8582,45234.0,57985.0,Echolocation,Pipistrellus pipistrellus,0.495,0.569,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1345.9525,1345.9594,44375.0,61652.0,Echolocation,Pipistrellus pipistrellus,0.515,0.585,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.0655,1346.0736,44375.0,52731.0,Echolocation,Pipistrellus pipistrellus,0.486,0.53,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.1655,1346.1724,43515.0,63051.0,Echolocation,Pipistrellus pipistrellus,0.487,0.605,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.3705,1346.3763,43515.0,61888.0,Echolocation,Pipistrellus pipistrellus,0.478,0.576,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.5775,1346.5844,44375.0,60663.0,Echolocation,Pipistrellus pipistrellus,0.439,0.6,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.7815,1346.7883,43515.0,57888.0,Echolocation,Pipistrellus pipistrellus,0.541,0.619,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1346.9965,1347.0021,44375.0,56380.0,Echolocation,Pipistrellus pipistrellus,0.585,0.608,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1412.8205,1412.8294,46953.0,59362.0,Echolocation,Pipistrellus pipistrellus,0.447,0.552,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1412.9215,1412.9279,47812.0,61417.0,Echolocation,Pipistrellus pipistrellus,0.599,0.625,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1413.0215,1413.0282,46953.0,58923.0,Echolocation,Pipistrellus pipistrellus,0.517,0.54,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1413.4195,1413.4277,46953.0,55069.0,Echolocation,Pipistrellus pipistrellus,0.488,0.529,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1413.5165,1413.5236,47812.0,60491.0,Echolocation,Pipistrellus pipistrellus,0.488,0.566,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1644.7505,1644.7577,48671.0,59659.0,Echolocation,Pipistrellus pipistrellus,0.517,0.546,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1644.9435,1644.951,47812.0,60467.0,Echolocation,Pipistrellus pipistrellus,0.522,0.54,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
